Cities,year,may,june,july,temperature,altitude,avg,label
PATHANAMTHITTA,2019,88.41,88.41,58.94,27,347,78.58666667,0
PURI,2019,65.3,50.67,50.67,24,214,55.54666667,0
PURI,2019,33.78,33.78,16.89,25,214,28.15,0
PURI,2019,19.59,19.59,13.06,31,214,17.41333333,0
RAYAGADA,2019,94,51.96,51.96,25,325,65.97333333,0
RAYAGADA,2019,34.64,34.64,17.32,25,325,28.86666667,0
RAYAGADA,2019,28.2,28.2,18.8,24,325,25.06666667,0
SAMBALPUR,2019,32.4,67.98,67.98,29,347,56.12,0
SAMBALPUR,2019,45.32,45.32,22.66,31,347,37.76666667,0
SAMBALPUR,2019,9.72,9.72,6.48,34,347,8.64,0
SONEPUR,2019,30.4,53.46,53.46,30,412,45.77333333,0
SONEPUR,2019,35.64,35.64,17.82,29,412,29.7,0
SONEPUR,2019,9.12,9.12,6.08,28,412,8.106666667,0
SUNDARGARH,2019,39.6,65.07,65.07,27,251,56.58,0
SUNDARGARH,2019,43.38,43.38,21.69,27,251,36.15,0
SUNDARGARH,2019,11.88,11.88,7.92,26,251,10.56,0
THIRUVANANTHA,2019,216.6,101.61,101.61,28,246,139.94,1
THIRUVANANTHA,2019,64.98,64.98,43.32,27,246,57.76,0
THIRUVANANTHA,2019,67.74,67.74,33.87,25,246,56.45,0
THRISSUR,2019,289.1,212.22,212.22,24,341,237.8466667,1
THRISSUR,2019,141.48,141.48,70.74,26,341,117.9,0
THRISSUR,2019,86.73,86.73,57.82,25,341,77.09333333,0
WAYANAD,2019,698.1,333.12,333.12,27,214,454.78,1
WAYANAD,2019,139.62,139.62,69.81,29,214,116.35,0
WAYANAD,2019,52.38,52.38,34.92,27,214,46.56,0
