NAME,REFERENCE,ASSETTYPE,ASSETLOCATION,CNTR_X,CNTR_Y
Bearnshaw park culvert no 2,0041/10,Complex Culvert,Todmorden - Bearnshaw Tower,389043.754,425729.328
Limers gate culvert no 3,0739/13,Complex Culvert,Clough Foot,389220.783,423721.504
Limers gate culvert no 2,0739/12,Complex Culvert,Clough Foot,389200.995,423727.669
Limers gate culvert no 1,0739/8,Complex Culvert,Clough Foot,389371.999,423861.012
Bearnshaw park culvert,80550,Complex Culvert,Todmorden - Bearnshaw Tower,389424.042,426095.06
Bacup road Culvert,0645/9,Complex Culvert,Clough Foot,389642.967,423954.973
Flower scar road culvert,80553,Complex Culvert,Todmorden,389793.029,425134.029
Bearnshaw tower asset no 1,0462/2,Screen,Todmorden,389889.026,426151.991
Bearnshaw tower Asset no2,0187/6,Complex Culvert,Todmorden - Cornholme,389991.988,426019.032
Bacup road Culvert no 2,0534/69,Complex Culvert,Clough Foot,389998.002,423677.93
Bacup road culvert no 3,0534/35,Complex Culvert,Clough Foot,390174.964,423705.924
Ramsdon Lane Inlet,80666,Simple Culvert,Todmorden,392694.994,421376.982
Dean farm culvert 5,0265/9,Complex Culvert,Todmorden,392736.723,422539.354
Pastures farm culvert,0278/21,Complex Culvert,Todmorden,392752.974,422169.061
Naze road culvert,0570/2,Complex Culvert,Todmorden,392778.98,423044.947
Cross lee culvert,0631/1,Complex Culvert,Todmorden,392782.979,425534.962
Ramsdon Wood Road Culvert 4,0650/28,Complex Culvert,Todmorden,392798.967,421394.063
pastures farm footbridge,0278/19,Bridge Abutment,Todmorden,392813.969,422159.063
Ramsdons Wood Road Culvert 3,0867/18,Complex Culvert,Todmorden,392878.99,421170.974
The sportsman culvert,0661/18,Complex Culvert,Hawks Stones - Kebs Road,392892.956,427376.042
Ramsdon Wood Road Culvert 2,0867/19,Complex Culvert,Todmorden,392918.993,421202.065
The sportsman Bridge,0661/26,Bridge Abutment,Hawks Stones - Kebs Road,392931.012,427462.988
Monas terrace screen,0627/3,Screen,Todmorden,392980.005,422401.018
Monas terrace culvert,0265/15,Complex Culvert,Todmorden,392987.022,422586.027
Hollins road culvert,0895/16,Complex Culvert,Todmorden,393379.302,422613.147
Shoebroad lane culvert,0494/2,Complex Culvert,Todmorden,393587.981,423730.987
Scrapers lane culvert,0055/10,Complex Culvert,Todmorden,393713.011,425693.029
Shoebroad Lane screen,0494/3,Screen,Todmorden,393736.97,423596.931
Scrapers lane Culvert no 2,80687,Complex Culvert,Todmorden,393804.024,425519.002
Scrapers lane drain,80688,Complex Culvert,Todmorden,393809.01,425497.967
Scrapers lane footbridge,0055/3,Bridge Abutment,Todmorden,393842.018,425412.028
Oakhill clough bridge,0585/6,Bridge Abutment,Todmorden,393859.009,425094.021
Oakhill clough bridge no 2,0585/3,Bridge Abutment,Todmorden,393860.031,425118.052
Hole Bottom Road screen,80692,Screen,Todmorden - Ratcher House,393860.002,425341.019
Hole Bottom Road Culvert,0055/1,Complex Culvert,Todmorden - Ratcher House,393864.984,425316.98
Windy harbour lane Footbridge,0332/9,Bridge Abutment,Todmorden,393974.984,426221.048
Broad gate culvert,0870/9,Complex Culvert,Todmorden,393999.019,425431.956
Broadgate culvert,0871/2,Complex Culvert,Todmorden,394210.025,425475.964
Hudson mill road bridge,0192/36,Bridge Abutment,Colden,396485.027,428164.994
Jumble hole road bridge no 2,0438/2,Bridge Abutment,Hebden Bridge,396590.969,426570.995
Jumble hole road bridge no1,0438/47,Bridge Abutment,Hebden Bridge,396602.154,426533.157
Jumble Hole Road Culvert,0571/1,Complex Culvert,Hebden Bridge,396687.983,426456.989
Jumble hole culvert no2,0673/1,Complex Culvert,Hebden Bridge - Charlestown,396737.002,426371.95
Jumble hole road culvert 3,0438/14,Complex Culvert,Hebden Bridge - Charlestown,396942.716,426301.379
Hebden water Stepping Stones,0639/4,Weir,Slack,397095.178,430365.146
Hebden water Footbridge,80704,Bridge Abutment,Slack,397128.962,430620.025
Hebden water weir,0362/22,Weir,Slack,397133.965,430106.215
Hebden water footbridge no 2,0362/34,Bridge Abutment,Slack,397190.03,430570.476
Calderway weir,0362/32,Weir,Slack,397238.019,429952.942
Gibson mill bridge,0362/56,Bridge Abutment,Slack -  Gibson Mill,397298.99,429837.303
Gibson mill stepping stones/weir,0362/53,Weir,Slack,397336.208,429791.329
Hebden water Stepping Stones no 2,0362/51,Weir,Slack,397359.661,429652.353
Hudson Mill Road Culvert,0637/5,Complex Culvert,Slack,397565.011,428178.967
Hudson mill road sluice,0637/2,Control Gates,Slack,397641.403,428231.107
Hudson Mill road bridge,0191/32,Bridge Abutment,Slack,397692.778,428237.978
Hebden water Stepping Stones no 3,80716,Spillway,Slack,397830.031,429238.001
Colden Road Footbridge,0191/45,Bridge Abutment,Hebden Bridge,398187.78,427846.001
Hebden water weir no 2,0362/70,Weir,Slack,398088.287,429109.715
Eaves avenue river culvert,0191/42,Complex Culvert,Hebden Bridge,398237.984,427730.047
Calder way sleeper bridge,0706/10,Bridge Abutment,Shackleton,398392.744,429077.663
Frieldhurst road culvert,0277/2,Complex Culvert,Todmorden - Frieldhurst Road,391407.007,426252.066
Bluebell lane screen,80613,Screen,Shore,391438.019,426828.007
Valley peak culvert no 3,0855/6,Complex Culvert,Todmorden,391452.972,425459.012
Shore green footbridge,0886/11,Bridge Abutment,Shore,391472.996,426549.01
Gorpley clough footbridge no2,0312/12,Bridge Abutment,Todmorden,391527.391,423414.324
Foul Clough Road Culvert no 2,0657/9,Complex Culvert,Todmorden,391559.77,421701.013
Delf lane culvert,0726/7,Complex Culvert,Shore,391524.007,427246.078
Red clough culvert no 2,0655/13,Complex Culvert,Todmorden,391549.981,422158.977
Bluebell farm culvert,0277/21,Complex Culvert,Shore,391560.86109824,426501.06506726
Blubell lane screen no 2,0277/37,Screen,Shore,391657.01,426639.018
Foul clough road culvert,0657/1,Simple Culvert,Todmorden,391677.976,421739.072
Gorpley clough footbridge,0312/5,Bridge Abutment,Todmorden,391778.281,423514.894
Delf lane farm culvert,80627,Complex Culvert,Shore,391706.991,426922.976
Kebbs road culvert no 3,0256/12,Complex Culvert,Hawks Stones,391720.965,427549.015
Bluebell lane culvert,0277/15,Complex Culvert,Shore,391742.84,426717.747
Ramsden clough screen,0650/46,Screen,Todmorden,391733.985,421378.045
Bacup road culvert no 6,0346/5,Complex Culvert,Todmorden,391788.992,423671.973
Foul clough road culvert 2,0655/18,Complex Culvert,Todmorden,391796.986,421969.058
Sagar lane culvert,0277/44,Complex Culvert,Shore,391816.961,426816.971
Hoyd road culvert,0354/4,Complex Culvert,Shore,391858.013,426679.046
Gorpley clough bridge,0312/2,Bridge Abutment,Todmorden,391867.994,423517.962
Gorpley clough screen,0315/3,Screen,Todmorden,391883.996,423571.003
Sagar lane screen,0354/8,Complex Culvert,Shore,391893.959,426789.019
Hoyd house culvert,0354/19,Complex Culvert,Shore - Bluebell Lane,391900.899,426645.704
Hoyd house footbridge no2,0661/2,Bridge Abutment,Shore,392115.467,426633.538
Sagar lane culvert no2,0277/40,Complex Culvert,Shore,391904.986,426985.041
Sagar lane culvert no 3,0277/55,Complex Culvert,Hawks Stones,391989.971,427154.009
Stony lane culvert,0354/13,Complex Culvert,Shore,392053.011,426951.071
Stony lane culvert no 2,80644,Complex Culvert,Shore,392077.964,426885.051
Stony lane culvert 3,80645,Complex Culvert,Shore,392092.009,426842.97
Dean farm track culvert no 2,0232/3,Complex Culvert,Todmorden,392137.019,423266.951
Dean farm track culvert,0231/2,Complex Culvert,Todmorden,392181.991,423276.999
Ramsden lane Culvert,0649/5,Complex Culvert,Todmorden,392181.973,421207.04
Ramsden lane culvert 2,0649/9,Complex Culvert,Todmorden,392204.524,421302.797
Dene farm non vehicular footbridge,0278/10,Bridge Abutment,Todmorden,392247.018,422259.005
Bacup road culvert no 7,0770/1,Complex Culvert,Todmorden,392272.012,423342.934
Calderdale public footpath Asset,80653,Complex Culvert,Todmorden,392281,421538.985
Calderdale public Footpath asset 2,80654,Complex Culvert,Todmorden,392312.025,421531.034
Dean farm footbridge,0232/7,Bridge Abutment,Todmorden - Gauxholme,392343.254,423073.687
Calderdale public footpath pipe,80656,Complex Culvert,Todmorden,392366.006,421627.74
Kebs road culvert 2,80657,Complex Culvert,Hawks Stones,392411.98,427116.02
Ramsdon Lane Footbridge,0650/5,Bridge Abutment,Todmorden,392430.02,421482.996
Dean farm culvert no 3,0265/19,Complex Culvert,Todmorden,392485.006,422638.998
Dene farm culvert 6,0278/6,Complex Culvert,Todmorden,392495.992,422250.026
Dean farm culvert 4,0265/6,Complex Culvert,Todmorden,392564.402,422580.349
Stony lane culvert 4,0758/18,Complex Culvert,Todmorden,392593.954,426447.049
Kebs road bridge,0661/8,Bridge Abutment,Hawks Stones - Farm Track,392670.96,427173.008
Stoney royd bridge,,Bridge Abutment,Todmorden,392690.982,425605.981
Eaves road bridge,80721,Bridge Abutment,Hebden Bridge,398439.046,427497.993
Calder way weir no 2,0362/64,Weir,Slack,398461.031,429025.015
Eaves avenue culvert,0751/2,Complex Culvert,Hebden Bridge,398473.886,427543.152
Calderway footbridge,0292/1,Bridge Abutment,Shackleton,398493.813,429064.722
Midgehole vehicular bridge,0362/28,Bridge Abutment,Midgehole,398828.81,429061.503
Bridge clough footbridge,0109/20,Bridge Abutment,Pecket Well,398853.873,430072.945
Old weir,0109/10,Weir,Midgehole,398894.914,429492.266
Hob Cote bridge,0109/2,Bridge Abutment,Midgehole,398901.815,429139.918
Lee mill road pipe,80732,Complex Culvert,Hebden Bridge,399139.69,428176.154
Coppy lane bridge,0506/12,Bridge Abutment,Pecket Well,399235.995,431350.052
Hebden bridge sluice gate,0362/6,Flood Gate,Hebden Bridge,399300.01,428589.009
Black Stone Edge Asset,0834/1,Spillway,Cragg Vale,400155.988,422707.022
Sunny Bank Lane Bridge,0156/8,Bridge Abutment,Cragg Vale,400241.993,423506.939
Cragg Road Culvert,0186/1,Simple Culvert,Cragg Vale,400326.031,423323.929
Cragg Brooke Sluice,0156/1,Spillway,Cragg Vale,400406.022,423600.958
Cragg Brooke Sluice,0206/43,Spillway,Cragg Vale,400501.991,423697.984
Cragg Brook Culvert,0206/40,Complex Culvert,Cragg Vale,400525.027,423709
Cragg Road Vehicular bridge,,Bridge Abutment,Cragg Vale,400540.008,423741.935
Cragg Road Bridge,0206/25,Bridge Abutment,Cragg Vale,400715.004,424240.951
Cragg Lane Bridge,0206/15,Bridge Abutment,Cragg Vale,400734.965,424574.509
Thorney Lane Culvert,0552/2,Simple Culvert,Midgley,403325.655,427022.387
Stansfield Mill Lan Sluice,0668/22,Control Gates,Triangle,404512.98,422283.973
Old Lane Scrap Yard Culvert,0608/21,Complex Culvert,Halifax,408362.978,426953
Station Road Culvert,0608/64,Complex Culvert,Halifax,408364.979,428184.99
Croft Farm Access Culvert,0781/21,Complex Culvert,Halifax,408362.108,429809.686
Croft Farm Access Bridge,0781/22,Complex Culvert,Halifax,408375.736,429782.34
Holdsworth Road Culvert,80764,Complex Culvert,Halifax,408419.036,428344.968
Old Lane industrial unit Culvert,0608/15,Complex Culvert,Halifax,408427.033,426801.021
Ovenden Road Culvert,0608/3,Complex Culvert,Halifax,408465.02,426509.031
School Cote Brow Inlet Culvert,0779/12,Complex Culvert,Halifax,408480.987,428770.976
Croft Farm Footbridge,0779/68,Complex Culvert,Halifax,408521.022,430009.018
School Cote Brow Footbridge,0779/35,Bridge Abutment,Halifax,408569.995,429537.029
Copley Lane Road Culvert,0198/3,Complex Culvert,Halifax,408594.002,422506.059
School Cote Brow Bridge,0779/33,Bridge Abutment,Halifax,408650.986,429411.011
Wyke Beck Pipe,0897/9,Complex Culvert,Brighouse,414619.027,425687.019
Wyke Beck Pipe 2,0897/12,Complex Culvert,Brighouse,414647.995,425793.03
River Street Culvert,0669/1,Complex Culvert,Brighouse,415826.994,421906.068
Ramsden Wood Road Culvert,0867/30,Complex Culvert,Todmorden,393010.98,421238.974
Bank top farm culvert no 2,0380/13,Complex Culvert,Shore,391302.953,427619.993
Haigh Cote Dam,0164/52,Complex Culvert,Wainstalls,404481.001,429809.012
White slack gate Culvert,0567/25,Complex Culvert,Todmorden - White Rose Farm,393527.489,420774.811
Spurstowe timber footbridge on a private pond,0442/27,Bridge Abutment,Todmorden,394311.019,424615.011
Redundant reservoir culvert,0197/1,Complex Culvert,Todmorden,392495.003,420358.038
Whirlaw lane culvert,0016/13,Complex Culvert,Todmorden,393519.389,425713.551
Branch Road Culvert,0050/2,Complex Culvert,Stainland,406883.992,419349.027
Strines Beck Bridge,80793,Bridge Abutment,Halifax,408527.016,430381.983
Bradshaw Lane Asset,0779/49,Complex Culvert,Halifax,408408.972,430600.959
Weir Head Race,0503/21,Weir,Luddenden,404207.003,426584.045
Mill lane culvert no 2,0503/78,Complex Culvert,Luddenden - Luddenden valley,404235.005,426848.977
Allescholes road culvert,0567/21,Complex Culvert,Todmorden,393569.85,420792.33
Stanisfield culvert,80799,Complex Culvert,Todmorden,394243.038,424763.966
Dog lane Mill Culvert inlet,0250/1,Complex Culvert,Stainland - Dog Lane,406840.001,418922.961
Scott Street Culvert,0165/14,Simple Culvert,Todmorden,393234.022,421699.033
Branch Road Vehicle Bridge,0061/163,Bridge Abutment,Stainland - Branch Road,406877.031,419273.028
Firth House Lane Spill Way,80803,Spillway,Sowood,406314.988,417997.034
Branch Road Control Gate,0061/96,Control Gates,Stainland,406713.035,419475.952
Winding Rise Culvert,0097/1,Complex Culvert,Brighouse,415037.024,425307.03
Berry Mill Lane Sluice Gate,0282/3,Spillway,Sowood,406070.984,417739.052
Stanisfield screen,0442/16,Screen,Todmorden,394243.038,424763.966
Badger wood culvert,80812,Complex Culvert,Todmorden,394303.034,423993.949
Badger wood footbridge,0482/7,Bridge Abutment,Todmorden,394323.065,423967.221
Mill lane culvert,0503/105,Complex Culvert,Luddenden,404263.989,426668.986
Strines Beck Culvert,80817,Complex Culvert,Halifax,408552.975,430462.028
Rochdale Road Sluice Gate 2,0668/23,Control Gates,Sowerby Bridge,404658.993,422465.011
River Ryburn Culvert,0668/20,Complex Culvert,Sowerby Bridge,404911.995,422539.022
Rochdale Road Culvert,0477/2,Complex Culvert,Sowerby Bridge,405194.981,422778.959
Rochdale Road Bridge,0668/45,Bridge Abutment,Sowerby Bridge,405385.028,422863.053
Watkinson Road Inlet Culvert,0036/5,Complex Culvert,Halifax,408028.005,427905.03
Roper Lane Culvert 2,0781/15,Complex Culvert,Halifax,408076.955,429948.939
Roper Lane Culvert,0781/5,Complex Culvert,Halifax,408178.968,429891.034
Royd Lane Culvert,0608/37,Complex Culvert,Halifax,408239.008,427272.99
Royd Lane Bridge,0608/30,Complex Culvert,Halifax,408293.011,427169.055
Lower Dean Pipe,,Simple Culvert,Wainstalls,402549.005,429905.962
Carr house Lane Culvert,,Complex Culvert,Shelf,413134.018,429179.013
NonMainRiver_RoadsNotMotorways,,Simple Culvert,Wainstalls,402553.017,430185.794
Birkhouse Road Culvert,,Complex Culvert,Brighouse,415137.967,424980.019
Cragg Road Culvert,,Complex Culvert,Mytholmroyd,400784,425637.046
Haigh Cote Barn Culvert,,Complex Culvert,Wainstalls,404283.994,430073.975
Blackshaw Clough Culvert,,Complex Culvert,Lighthazles,402298.003,420735.067
Sykes gate culvert,,Complex Culvert,Cragg Vale - Under Sykes Gate Road,399864.029,421427.017
NonMainRiver_RoadsNotMotorways,,Simple Culvert,Wainstalls,402554.492,430135.837
Blackstone edge culvert,,Complex Culvert,Cragg Vale,399797.997,421515.024
Withens Road Culvert,,Complex Culvert,Wainstalls,404701.994,430262.957
Lumb Lane Culvert,,Complex Culvert,Wainstalls,404571.005,429647.993
Carr house Road Culvert,,Complex Culvert,Shelf,413171.972,429068.976
Upper Cockcroft Farm Bridge,81886,Bridge Abutment,Rishworth,402425.958,418043.03
Height Road Culvert 3,0680/8,Simple Culvert,Mytholmroyd,401609.029,427073.039
Castle Carr Road Culvert,0298/1,Complex Culvert,Wainstalls,402888.177,430108.43
Bank House Lane Culvert,0164/107,Bridge Abutment,Wainstalls,404165.991,428095.032
Saltonsall lane pipe,0164/23,Bridge Abutment,Wainstalls,404155.75,428424.244
Work house farm Footbridge,0192/25,Bridge Abutment,Colden - Edge Lane,394435.973,429604.935
Branch Road Culvert,0061/132,Complex Culvert,Stainland,406801.009,420054.945
Stoney royd screen,0759/12,Screen,Todmorden,392642.991,425756.039
Stoney royd culvert 2,0759/4,Complex Culvert,Todmorden,392642.991,425756.039
Stoney royd culvert 2,0759/8,Complex Culvert,Todmorden,392642.991,425756.039
Top O' Th' Hill Screen,0368/15,Screen,Todmorden,393579.971,422349.07
Top O' Th' Hill culvert,0368/16,Complex Culvert,Todmorden,393579.971,422349.07
Centre Vale Park Footbridge,81904,Bridge Abutment,Todmorden,393332.02,424458.006
Castle Carr Road Culvert 2,81905,Simple Culvert,Wainstalls,403015.971,430028.953
Midgeley Road Culvert,0865/5,Complex Culvert,Mytholmroyd,401701.023,426336.979
Branch Road Culvert,0061/94,Complex Culvert,Stainland,406801.009,420054.945
Branch Road Penstock.,0100/3,Control Gates,Stainland,406957.983,420082.984
Black edge Footbridge,0202/1,Bridge Abutment,Cragg Vale,399806.02,421909.99
Workhouse Farm culvert,0192/4,Complex Culvert,Colden - Edge Lane,394706.995,429607.952
Lowerlane culvert,0261/40,Complex Culvert,Blackshaw Head,394864.003,427225.951
Centre vale park culvert 2,0166/6,Complex Culvert,Todmorden,393209.978,424493.009
Todmorden cricket club culvert,81942,Complex Culvert,Todmorden,393346.964,424478.012
Old Royd Road Culvert,0507/56,Complex Culvert,Todmorden,395112.985,423960.965
Old royd road screen,0507/16,Screen,Todmorden,395112.985,423960.965
Rossendale culvert,0709/47,Complex Culvert,Mankinholes,396273.03,423884.98
Top O' Th' Hill culvert 2,0367/5,Complex Culvert,Todmorden,393497.968,422490.037
Hollingworth clough Bridge,0059/50,Bridge Abutment,Todmorden - Salter Rake Gate,394008.652,422228.432
Withens clough Bridge,0881/35,Bridge Abutment,Cragg Vale,398501.015,423186.996
Withens clough Dropshaft,0881/20,Complex Culvert,Cragg Vale,398540.025,423174.968
Withens clough culvert,0881/19,Complex Culvert,Cragg Vale,398610.001,423175.948
Withens clough bridge no 2,0822/24,Bridge Abutment,Cragg Vale,398707.989,423033.959
Cragg Road Land Drain Culvert,0524/1,Simple Culvert,Mytholmroyd,400773.975,425607.005
Lynton Grove Culvert,0781/13,Complex Culvert,Halifax,407933.955,430039.042
Stanisfield screen,0442/16,Screen,Todmorden,394297.986,424744.982
Luddenfoot Weir,0503/35,Weir,Luddenden Foot,403955.143,425277.42
Crow Wood lane penstock,0250/5,Complex Culvert,Stainland,406756.024,418828.052
Pennine Grove screen,0345/2,Screen,Todmorden,394492.045,424669.975
Ashenhurst screen,0016/2,Complex Culvert,Todmorden,393367.978,425313.003
Robin wood culvert no 2,0246/21,Complex Culvert,Todmorden,392924.67,423936.683
Cross Stones Road culvert,0442/7,Complex Culvert,Todmorden,394428.025,424824.041
Robin wood culvert and screen,0153/2,Complex Culvert,Todmorden,392877.991,423885.018
Robin wood screen,0153/1,Complex Culvert,Todmorden,392877.991,423885.018
Hollingworth clough culvert,0396/20,Complex Culvert,Todmorden,393728.019,421500.058
Hollingworth lane culvert,0396/12,Simple Culvert,Todmorden,394010.387,421593.577
Hey Head Lane culvert,0442/20,Complex Culvert,Todmorden,394597.127,425018.096
Rudd Lane Culvert,0880/7,Complex Culvert,Cragg Vale,399689,423160.951
Raw lane culvert,0836/10,Simple Culvert,Mytholmroyd,401429.797,426906.542
Berry Mill Lane Stepping Stones,0659/30,Spillway,Sowood - Berry Mill Lane,406068.48,417521.1
Berry Mill Lane Footbridge,0659/30,Bridge Abutment,Sowood - Berry Mill Lane,406045.976,417546.994
Lower Road Culvert,0493/5,Complex Culvert,Rishworth,405072.016,417037.997
Red clough culvert,0655/9,Complex Culvert,Todmorden,391709.15,422144.449
Todmorden moor footbridge,0009/2,Bridge Abutment,Clough Foot,390419.013,424348.958
Springs culvert 1,0753/1,Complex Culvert,Clough Foot,390858.982,424325.039
Sourhall road culvert 2,0525/11,Complex Culvert,Clough Foot,391561.003,424211.002
Dobroyd sheep farm estate culvert,0283/7,Complex Culvert,Todmorden,392644.01,423190.017
Dobroyd road screen,0246/11,Screen,Todmorden,393223.982,423837.989
Staups lane culvert no 1,0763/7,Complex Culvert,Blackshaw Head,396032.963,426703.968
Staups lane culvert no 2,0763/10,Complex Culvert,Blackshaw Head,396027.99,426750.033
Staups lane culvert no 3,0763/46,Complex Culvert,Blackshaw Head,396020.013,426831.038
Daisy bank clough Footbridge,0388/12,Bridge Abutment,Blackshaw Head,395411.98,427161.942
New Delight Inn bridge,0192/50,Bridge Abutment,Colden - Jack Bridge,396239.045,428225.053
New Road Bridge,0192/40,Bridge Abutment,Colden,395921.479,428529.63
Penine way bridge,81139,Bridge Abutment,Colden,394708.022,432241.041
Goit side culvert,0503/91,Complex Culvert,"
Booth - Luddenden Valley",404324.984,427433.058
Lumb lane culvert no 3,81143,Complex Culvert,Wainstalls,404502.984,429775.987
Springs culvert no 3,0753/5,Complex Culvert,Clough Foot,390830.986,424584.003
Springs culvert no 2,0753/4,Complex Culvert,Clough Foot,390847.98,424500.967
Dobroyd road culvert,0246/27,Complex Culvert,Todmorden,393223.982,423837.989
New orchard bridge,0192/42,Bridge Abutment,Colden,395730.053,428730.962
Stainland Dean Bridge,81182,Bridge Abutment,Sowood,406336.99,418254.953
Stainland Dean Culvert,0061/238,Complex Culvert,Sowood,406339.001,418334.949
Stainland Road Culvert,0061/118,Complex Culvert,Barkisland,406545.041,419713.031
Till Carr Lane Foot Bridge,0093/7,Bridge Abutment,Brighouse,414103.001,425752.993
Jerusalem farm weir/ Stepping Stones,0503/97,Weir,Booth,403820.986,427817.04
Jerusalem Farm Footbridge,0503/122,Bridge Abutment,Booth,403318.995,428185.056
Haigh Cote Dam 1,81189,Simple Culvert,Wainstalls,404508.078,429756.075
Lynton Grove culvert no 2,0781/9,Complex Culvert,Halifax,407876.953,430067.986
Stone Widdop Bridge,,Bridge Abutment,Colden,395556.028,432141.005
Raw Lane Culvert 2,0836/5,Complex Culvert,Mytholmroyd,401375.98,426876.042
Ackroyd lane Culvert,0011/20,Complex Culvert,Pecket Well,399731.036,429344.045
Salt pie farm Bridge,0192/23,Bridge Abutment,Colden,395340.996,429151.004
School land lane culvert,0226/6,Complex Culvert,Colden,395373.011,429058.963
Hoyd house Footbridge,0354/21,Bridge Abutment,Shore,391905.009,426618.994
Sourhall road culvert,0009/11,Complex Culvert,Clough Foot,390926.01,423843.03
Cross Stone Road screen,0442/3,Screen,Todmorden,394383.58,424798.505
Woodhouse Sluice Gate,0507/6,Screen,Todmorden,394988.034,424249.048
Hollingworth lane culvert 2,0396/11,Complex Culvert,Todmorden,393987.99,421634.996
South hollingwoth barn bridge,82617,Bridge Abutment,Todmorden,393791.995,421538.02
Hollingworth moor culvert,0235/4,Complex Culvert,Todmorden,394235.008,421359.97
Allescholes moor culvert,0183/7,Complex Culvert,Todmorden,393483.014,420389.021
Allescholes road drain,0183/8,Simple Culvert,Todmorden,393509.006,420412.015
Rudd Lane bridge,82623,Bridge Abutment,Cragg Vale,399727.02,423108.993
Rochdale road pipe,82624,Simple Culvert,Sowerby Bridge,405509.997,422984.016
Luddenden lane Footbridge,0503/26,Bridge Abutment,Luddenden Foot,404164.987,425573.994
Luddenden lane weir,0503/1,Weir,Luddenden Foot,404217.003,425700.987
Hollin Hey Farm Footbridge,82628,Complex Culvert,Sowood,405831.009,417519.027
